Elapsed Time	9.67463	16.19976	16.19349	19.39082	22.91342	11.09188	15.69472	16.31315	27.58647	22.68652
Clockticks	1.30187E+11	2.37222E+11	3.15722E+11	4.06554E+11	4.97969E+11	1.43111E+11	2.3532E+11	3.14647E+11	4.40746E+11	4.97864E+11
Instructions Retired	1.97933E+11	3.61946E+11	5.11806E+11	6.68415E+11	8.21839E+11	1.97879E+11	3.55247E+11	5.09552E+11	6.67645E+11	8.23502E+11
CPI Rate	0.65773	0.65541	0.61688	0.60824	0.60592	0.72323	0.66241	0.6175	0.66015	0.60457
MUX Reliability	0.97552	0.99569	0.9936	0.99741	0.99773	0.99154	0.99567	0.99159	0.98955	0.99134
Front-End Bound	22.1	18.4	21.6	20	20.4	20.6	20.9	20.6	17.7	20.2
Front-End Latency	13.1	11.1	12.1	10.9	11.9	13.1	13.1	12.7	9.8	10.5
ICache Misses	1.8	1	1.2	0.8	0.7	2.3	1	0.9	0.7	0.7
ITLB Overhead	0.3	0.2	0.1	0.1	0.1	0.4	0.1	0.2	0.1	0.1
Branch Resteers	3.7	3.3	1.4	1.1	1	4.6	3.1	1.4	3.6	1.4
Mispredicts Resteers	2.6	1.6	0.8	0.5	0.6	2.5	1.4	0.8	1.7	0.8
Clears Resteers	0.1	0.5	0.1	0.1	0.1	0.4	0.4	0.1	0.9	0.1
Unknown Branches	1.1	1.1	0.5	0.4	0.3	1.7	1.2	0.5	1	0.5
DSB Switches	0.5	0.3	0.2	0.1	0.1	0.4	0.3	0.2	0.1	0.1
Length Changing Prefixes	0	0	0	0	0	0	0	0	0	0
MS Switches	0.5	0.2	0.1	0.4	0.2	0.3	0.4	0.3	0.2	0.3
Front-End Bandwidth	9	7.3	9.6	9.1	8.5	7.5	7.8	7.9	7.9	9.7
Front-End Bandwidth MITE	6.3	3.5	3.4	2.3	2.6	7	4.4	3.2	2.7	2.3
Front-End Bandwidth DSB	33.3	35.6	41.4	42.2	43.2	30.2	37.1	41.1	36.9	42.7
Front-End Bandwidth LSD	0.1	0.1	0.1	0	0	0.1	0	0	0	0
(Info) DSB Coverage	89.4	93.9	95	96.4	96.3	87.7	92.8	95.3	95.7	96.7
(Info) LSD Coverage	1.6	1.2	0.7	0.5	0.5	1.2	1.1	0.6	0.5	0.4
Bad Speculation	7.1	4.4	3.3	2.6	2	6.9	5.3	3	3.5	2.3
Branch Mispredict	6.9	3.3	3.1	2.2	1.8	5.8	4.2	2.6	2.3	2.1
Machine Clears	0.1	1.1	0.2	0.4	0.3	1	1.1	0.4	1.2	0.2
Back-End Bound	14.3	17.8	6.5	5.9	4.8	21.8	11.4	8.5	19.8	5.8
Memory Bound	6.3	9.2	2.7	2.4	1.9	13.2	5.6	3.4	9.5	2.3
L1 Bound	12.6	15.2	13.6	14.4	14.4	12.1	14.3	14	14.5	14.5
DTLB Overhead	1.7	0.5	0.4	0.4	1.5	1.3	4.8	0.4	0.6	0.2
Loads Blocked by Store Forwarding	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	0
Lock Latency	0	0	0	0	0	0	0	0	0	0
Split Loads	0	0	0	0	0	0	0	0	0	0
4K Aliasing	12.2	14.9	15.7	17.5	18.5	15.6	15.8	17.2	16.1	15.5
FB Full	3.9	2.6	1.8	3.6	2.2	1.2	2.6	1.9	2.1	1.2
L2 Bound	1.1	0	0.8	0.4	0.2	1.9	0.3	0.3	0	0
L3 Bound	2.2	5.3	1.4	1.3	0.7	7.8	3.9	1.5	4.6	0.9
