Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	7.045466
1	Clockticks	39106200000
1	Instructions Retired	44196600000
1	CPI Rate	0.884824
1	MUX Reliability	0.991284
1	Front-End Bound	31.9
2	Front-End Latency	20.9
3	ICache Misses	6.5
3	ITLB Overhead	1.1
3	Branch Resteers	7.2
4	Mispredicts Resteers	4.7
4	Clears Resteers	0.0
4	Unknown Branches	2.5
3	DSB Switches	1.2
3	Length Changing Prefixes	0.0
3	MS Switches	0.5
2	Front-End Bandwidth	11.0
3	Front-End Bandwidth MITE	14.8
3	Front-End Bandwidth DSB	13.3
3	Front-End Bandwidth LSD	0.0
3	(Info) DSB Coverage	71.7
3	(Info) LSD Coverage	3.3
1	Bad Speculation	14.8
2	Branch Mispredict	14.8
2	Machine Clears	0.0
1	Back-End Bound	20.2
2	Memory Bound	11.8
3	L1 Bound	10.0
4	DTLB Overhead	7.5
4	Loads Blocked by Store Forwarding	0.6
4	Lock Latency	0.1
4	Split Loads	0.0
4	4K Aliasing	2.6
4	FB Full	3.7
3	L2 Bound	2.7
3	L3 Bound	7.4
4	Contested Accesses	0.0
4	Data Sharing	0.0
4	L3 Latency	19.4
4	SQ Full	0.1
3	DRAM Bound	6.5
4	Memory Bandwidth	19.1
4	Memory Latency	42.3
5	Local DRAM	7.1
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	4.3
4	Store Latency	13.3
5	Store L2	0.1
5	Store L3	10.3
5	Store Memory	2.9
4	False Sharing	0.0
4	Split Stores	0.1
4	DTLB Store Overhead	0.9
2	Core Bound	8.4
3	Divider	0.0
3	Port Utilization	22.0
4	Cycles of 0 Ports Utilized	30.5
4	Cycles of 1 Port Utilized	3.0
4	Cycles of 2 Ports Utilized	10.5
4	Cycles of 3+ Ports Utilized	17.1
5	Port 0	11.4
5	Port 1	13.8
5	Port 2	24.7
5	Port 3	25.3
5	Port 4	17.0
5	Port 5	15.4
5	Port 6	31.4
5	Port 7	11.3
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	33.1
2	General Retirement	32.4
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	0.7
3	Assists	0.0
1	Total Thread Count	137
1	Paused Time	0.0
1	Frame Count	4
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	79993500
1	Collection start time	21:44:47 19/11/2018 UTC
1	Collection stop time	21:44:54 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998595
2	Logical CPU Count	32
