Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	8.764829
1	Clockticks	83277600000
1	Instructions Retired	93706200000
1	CPI Rate	0.888710
1	MUX Reliability	0.997869
1	Front-End Bound	38.2
2	Front-End Latency	21.8
3	ICache Misses	4.4
3	ITLB Overhead	4.2
3	Branch Resteers	1.5
4	Mispredicts Resteers	1.1
4	Clears Resteers	0.0
4	Unknown Branches	0.5
3	DSB Switches	0.9
3	Length Changing Prefixes	0.0
3	MS Switches	3.5
2	Front-End Bandwidth	16.4
3	Front-End Bandwidth MITE	35.6
3	Front-End Bandwidth DSB	11.3
3	Front-End Bandwidth LSD	0.0
3	(Info) DSB Coverage	41.4
3	(Info) LSD Coverage	2.0
1	Bad Speculation	11.2
2	Branch Mispredict	11.2
2	Machine Clears	0.0
1	Back-End Bound	6.5
2	Memory Bound	3.5
3	L1 Bound	13.6
4	DTLB Overhead	5.1
4	Loads Blocked by Store Forwarding	0.3
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	2.0
4	FB Full	4.8
3	L2 Bound	2.7
3	L3 Bound	5.4
4	Contested Accesses	2.2
4	Data Sharing	0.0
4	L3 Latency	12.0
4	SQ Full	0.4
3	DRAM Bound	0.7
4	Memory Bandwidth	47.4
4	Memory Latency	37.7
5	Local DRAM	1.1
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	5.8
4	Store Latency	27.8
5	Store L2	1.6
5	Store L3	17.7
5	Store Memory	8.5
4	False Sharing	0.0
4	Split Stores	0.1
4	DTLB Store Overhead	1.2
2	Core Bound	3.0
3	Divider	0.1
3	Port Utilization	23.7
4	Cycles of 0 Ports Utilized	58.2
4	Cycles of 1 Port Utilized	13.0
4	Cycles of 2 Ports Utilized	14.3
4	Cycles of 3+ Ports Utilized	30.9
5	Port 0	20.8
5	Port 1	22.4
5	Port 2	34.9
5	Port 3	35.6
5	Port 4	29.0
5	Port 5	23.7
5	Port 6	43.0
5	Port 7	17.1
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	44.1
2	General Retirement	40.2
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	3.8
3	Assists	0.0
1	Total Thread Count	145
1	Paused Time	0.0
1	Frame Count	14
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	112301595
1	Collection start time	21:47:39 19/11/2018 UTC
1	Collection stop time	21:47:48 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998594
2	Logical CPU Count	32
