Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	101.822023
1	Clockticks	2364927600000
1	Instructions Retired	2987970300000
1	CPI Rate	0.791483
1	MUX Reliability	0.999334
1	Front-End Bound	34.6
2	Front-End Latency	13.9
3	ICache Misses	1.2
3	ITLB Overhead	3.1
3	Branch Resteers	1.3
4	Mispredicts Resteers	0.4
4	Clears Resteers	0.0
4	Unknown Branches	0.9
3	DSB Switches	1.4
3	Length Changing Prefixes	0.0
3	MS Switches	7.5
2	Front-End Bandwidth	20.7
3	Front-End Bandwidth MITE	54.9
3	Front-End Bandwidth DSB	3.1
3	Front-End Bandwidth LSD	0.0
3	(Info) DSB Coverage	10.5
3	(Info) LSD Coverage	0.1
1	Bad Speculation	2.8
2	Branch Mispredict	2.6
2	Machine Clears	0.2
1	Back-End Bound	4.2
2	Memory Bound	1.8
3	L1 Bound	18.2
4	DTLB Overhead	8.8
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	5.0
4	FB Full	0.8
3	L2 Bound	1.1
3	L3 Bound	0.6
4	Contested Accesses	0.3
4	Data Sharing	0.1
4	L3 Latency	1.3
4	SQ Full	0.4
3	DRAM Bound	0.4
4	Memory Bandwidth	70.7
4	Memory Latency	26.0
5	Local DRAM	0.5
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	1.9
4	Store Latency	23.7
5	Store L2	3.1
5	Store L3	4.2
5	Store Memory	16.4
4	False Sharing	1.3
4	Split Stores	0.1
4	DTLB Store Overhead	1.3
2	Core Bound	2.3
3	Divider	0.5
3	Port Utilization	28.0
4	Cycles of 0 Ports Utilized	76.4
4	Cycles of 1 Port Utilized	13.1
4	Cycles of 2 Ports Utilized	19.2
4	Cycles of 3+ Ports Utilized	44.2
5	Port 0	27.3
5	Port 1	27.4
5	Port 2	39.6
5	Port 3	40.5
5	Port 4	37.4
5	Port 5	28.0
5	Port 6	48.9
5	Port 7	21.2
4	Vector Capacity Usage (FPU)	23.8
1	Retiring	58.5
2	General Retirement	50.7
3	FP Arithmetic	0.1
4	FP x87	0.0
4	FP Scalar	0.1
4	FP Vector	0.0
3	Other	99.9
2	Microcode Sequencer	7.8
3	Assists	0.0
1	Total Thread Count	152
1	Paused Time	0.0
1	Frame Count	126
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	1322189789
1	Collection start time	21:48:20 19/11/2018 UTC
1	Collection stop time	21:50:01 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998532
2	Logical CPU Count	32
