Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2922.850549
1	Clockticks	3348534000000
1	Instructions Retired	7395294900000
1	CPI Rate	0.452792
1	MUX Reliability	0.994234
1	Front-End Bound	19.0
2	Front-End Latency	8.7
3	ICache Misses	0.7
3	ITLB Overhead	0.2
3	Branch Resteers	2.4
4	Mispredicts Resteers	2.0
4	Clears Resteers	0.1
4	Unknown Branches	0.3
3	DSB Switches	2.8
3	Length Changing Prefixes	0.0
3	MS Switches	2.6
2	Front-End Bandwidth	10.3
3	Front-End Bandwidth MITE	16.0
3	Front-End Bandwidth DSB	15.8
3	Front-End Bandwidth LSD	1.5
3	(Info) DSB Coverage	50.0
3	(Info) LSD Coverage	14.4
1	Bad Speculation	3.4
2	Branch Mispredict	3.3
2	Machine Clears	0.1
1	Back-End Bound	20.1
2	Memory Bound	7.2
3	L1 Bound	5.3
4	DTLB Overhead	1.2
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	7.4
4	FB Full	42.6
3	L2 Bound	1.6
3	L3 Bound	1.7
4	Contested Accesses	0.3
4	Data Sharing	0.4
4	L3 Latency	8.1
4	SQ Full	1.1
3	DRAM Bound	4.8
4	Memory Bandwidth	17.7
4	Memory Latency	65.4
5	Local DRAM	15.1
5	Remote DRAM	0.1
5	Remote Cache	0.0
3	Store Bound	8.1
4	Store Latency	27.8
5	Store L2	6.2
5	Store L3	4.2
5	Store Memory	17.4
4	False Sharing	0.1
4	Split Stores	0.6
4	DTLB Store Overhead	0.2
2	Core Bound	12.8
3	Divider	0.0
3	Port Utilization	38.4
4	Cycles of 0 Ports Utilized	42.5
4	Cycles of 1 Port Utilized	6.4
4	Cycles of 2 Ports Utilized	9.7
4	Cycles of 3+ Ports Utilized	26.3
5	Port 0	30.9
5	Port 1	30.4
5	Port 2	37.3
5	Port 3	38.6
5	Port 4	31.1
5	Port 5	31.5
5	Port 6	45.8
5	Port 7	16.4
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	57.5
2	General Retirement	52.6
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	4.9
3	Assists	0.0
1	Total Thread Count	149
1	Paused Time	0.0
1	Frame Count	1215
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2398597745
1	Collection start time	07:28:30 12/12/2018 UTC
1	Collection stop time	08:17:13 12/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998525
2	Logical CPU Count	32
