Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	6.790228
1	Clockticks	37401000000
1	Instructions Retired	43638000000
1	CPI Rate	0.857074
1	MUX Reliability	0.882098
1	Front-End Bound	30.0
2	Front-End Latency	20.0
3	ICache Misses	7.1
3	ITLB Overhead	1.3
3	Branch Resteers	6.0
4	Mispredicts Resteers	3.7
4	Clears Resteers	0.0
4	Unknown Branches	2.3
3	DSB Switches	1.2
3	Length Changing Prefixes	0.0
3	MS Switches	1.3
2	Front-End Bandwidth	9.9
3	Front-End Bandwidth MITE	12.8
3	Front-End Bandwidth DSB	14.1
3	Front-End Bandwidth LSD	0.1
3	(Info) DSB Coverage	70.5
3	(Info) LSD Coverage	4.5
1	Bad Speculation	14.8
2	Branch Mispredict	14.8
2	Machine Clears	0.0
1	Back-End Bound	25.7
2	Memory Bound	16.0
3	L1 Bound	15.2
4	DTLB Overhead	6.5
4	Loads Blocked by Store Forwarding	0.5
4	Lock Latency	0.1
4	Split Loads	0.0
4	4K Aliasing	1.9
4	FB Full	0.0
3	L2 Bound	0.7
3	L3 Bound	11.5
4	Contested Accesses	0.0
4	Data Sharing	0.0
4	L3 Latency	24.9
4	SQ Full	0.0
3	DRAM Bound	1.6
4	Memory Bandwidth	19.8
4	Memory Latency	49.1
5	Local DRAM	2.3
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	4.0
4	Store Latency	16.5
5	Store L2	0.1
5	Store L3	12.9
5	Store Memory	3.5
4	False Sharing	0.0
4	Split Stores	0.0
4	DTLB Store Overhead	1.3
2	Core Bound	9.7
3	Divider	0.1
3	Port Utilization	20.1
4	Cycles of 0 Ports Utilized	33.4
4	Cycles of 1 Port Utilized	7.0
4	Cycles of 2 Ports Utilized	9.6
4	Cycles of 3+ Ports Utilized	16.9
5	Port 0	12.3
5	Port 1	14.0
5	Port 2	22.2
5	Port 3	23.1
5	Port 4	16.8
5	Port 5	13.8
5	Port 6	27.9
5	Port 7	9.9
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	29.5
2	General Retirement	28.6
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	0.8
3	Assists	0.0
1	Total Thread Count	133
1	Paused Time	0.0
1	Frame Count	4
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	78207783
1	Collection start time	21:37:18 19/11/2018 UTC
1	Collection stop time	21:37:25 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998403
2	Logical CPU Count	32
