Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	100.103608
1	Clockticks	2276490300000
1	Instructions Retired	3013403400000
1	CPI Rate	0.755455
1	MUX Reliability	0.998490
1	Front-End Bound	33.0
2	Front-End Latency	11.9
3	ICache Misses	1.0
3	ITLB Overhead	4.1
3	Branch Resteers	0.1
4	Mispredicts Resteers	0.0
4	Clears Resteers	0.0
4	Unknown Branches	0.0
3	DSB Switches	1.3
3	Length Changing Prefixes	0.0
3	MS Switches	7.7
2	Front-End Bandwidth	21.1
3	Front-End Bandwidth MITE	55.9
3	Front-End Bandwidth DSB	3.4
3	Front-End Bandwidth LSD	0.0
3	(Info) DSB Coverage	11.2
3	(Info) LSD Coverage	0.1
1	Bad Speculation	2.4
2	Branch Mispredict	2.2
2	Machine Clears	0.1
1	Back-End Bound	3.7
2	Memory Bound	1.6
3	L1 Bound	17.7
4	DTLB Overhead	9.2
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	3.9
4	FB Full	0.8
3	L2 Bound	0.8
3	L3 Bound	0.5
4	Contested Accesses	0.2
4	Data Sharing	0.0
4	L3 Latency	1.0
4	SQ Full	0.3
3	DRAM Bound	0.4
4	Memory Bandwidth	66.2
4	Memory Latency	30.4
5	Local DRAM	0.5
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	2.2
4	Store Latency	25.7
5	Store L2	3.3
5	Store L3	5.3
5	Store Memory	17.2
4	False Sharing	1.4
4	Split Stores	0.1
4	DTLB Store Overhead	1.3
2	Core Bound	2.1
3	Divider	0.5
3	Port Utilization	28.4
4	Cycles of 0 Ports Utilized	77.7
4	Cycles of 1 Port Utilized	12.2
4	Cycles of 2 Ports Utilized	18.9
4	Cycles of 3+ Ports Utilized	46.6
5	Port 0	29.1
5	Port 1	29.0
5	Port 2	41.2
5	Port 3	42.3
5	Port 4	39.2
5	Port 5	29.6
5	Port 6	50.6
5	Port 7	22.5
4	Vector Capacity Usage (FPU)	24.0
1	Retiring	60.9
2	General Retirement	52.9
3	FP Arithmetic	0.1
4	FP x87	0.0
4	FP Scalar	0.1
4	FP Vector	0.0
3	Other	99.9
2	Microcode Sequencer	7.9
3	Assists	0.0
1	Total Thread Count	152
1	Paused Time	0.0
1	Frame Count	117
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	1296865846
1	Collection start time	21:40:57 19/11/2018 UTC
1	Collection stop time	21:42:37 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998517
2	Logical CPU Count	32
