Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	7.837057
1	Clockticks	43507800000
1	Instructions Retired	50095500000
1	CPI Rate	0.868497
1	MUX Reliability	0.942746
1	Front-End Bound	30.2
2	Front-End Latency	20.7
3	ICache Misses	7.5
3	ITLB Overhead	1.2
3	Branch Resteers	4.9
4	Mispredicts Resteers	3.0
4	Clears Resteers	0.0
4	Unknown Branches	1.8
3	DSB Switches	1.1
3	Length Changing Prefixes	0.0
3	MS Switches	0.9
2	Front-End Bandwidth	9.5
3	Front-End Bandwidth MITE	15.2
3	Front-End Bandwidth DSB	13.7
3	Front-End Bandwidth LSD	0.4
3	(Info) DSB Coverage	67.3
3	(Info) LSD Coverage	5.4
1	Bad Speculation	14.2
2	Branch Mispredict	14.2
2	Machine Clears	0.0
1	Back-End Bound	21.1
2	Memory Bound	12.1
3	L1 Bound	11.6
4	DTLB Overhead	3.0
4	Loads Blocked by Store Forwarding	0.4
4	Lock Latency	0.1
4	Split Loads	0.0
4	4K Aliasing	2.4
4	FB Full	3.9
3	L2 Bound	1.5
3	L3 Bound	7.1
4	Contested Accesses	7.1
4	Data Sharing	0.1
4	L3 Latency	27.9
4	SQ Full	0.1
3	DRAM Bound	4.8
4	Memory Bandwidth	27.4
4	Memory Latency	55.7
5	Local DRAM	7.9
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	3.9
4	Store Latency	19.5
5	Store L2	0.2
5	Store L3	15.8
5	Store Memory	3.5
4	False Sharing	0.0
4	Split Stores	0.1
4	DTLB Store Overhead	0.6
2	Core Bound	9.0
3	Divider	0.1
3	Port Utilization	21.6
4	Cycles of 0 Ports Utilized	38.3
4	Cycles of 1 Port Utilized	12.9
4	Cycles of 2 Ports Utilized	8.8
4	Cycles of 3+ Ports Utilized	16.6
5	Port 0	20.2
5	Port 1	19.8
5	Port 2	32.5
5	Port 3	33.3
5	Port 4	24.6
5	Port 5	17.8
5	Port 6	35.1
5	Port 7	12.7
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	34.4
2	General Retirement	33.6
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	0.8
3	Assists	0.0
1	Total Thread Count	142
1	Paused Time	0.0
1	Frame Count	7
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	84098092
1	Collection start time	21:44:07 19/11/2018 UTC
1	Collection stop time	21:44:15 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998446
2	Logical CPU Count	32
