Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	102.093369
1	Clockticks	2657459700000
1	Instructions Retired	3355178400000
1	CPI Rate	0.792047
1	MUX Reliability	0.999081
1	Front-End Bound	25.6
2	Front-End Latency	11.7
3	ICache Misses	0.8
3	ITLB Overhead	0.1
3	Branch Resteers	1.2
4	Mispredicts Resteers	0.8
4	Clears Resteers	0.1
4	Unknown Branches	0.3
3	DSB Switches	4.4
3	Length Changing Prefixes	0.0
3	MS Switches	4.9
2	Front-End Bandwidth	13.9
3	Front-End Bandwidth MITE	28.1
3	Front-End Bandwidth DSB	11.0
3	Front-End Bandwidth LSD	1.7
3	(Info) DSB Coverage	35.1
3	(Info) LSD Coverage	9.9
1	Bad Speculation	1.5
2	Branch Mispredict	1.4
2	Machine Clears	0.1
1	Back-End Bound	12.7
2	Memory Bound	7.4
3	L1 Bound	17.3
4	DTLB Overhead	5.7
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.0
4	Split Loads	0.2
4	4K Aliasing	1.8
4	FB Full	100.0
3	L2 Bound	1.8
3	L3 Bound	1.3
4	Contested Accesses	0.1
4	Data Sharing	0.1
4	L3 Latency	3.1
4	SQ Full	9.0
3	DRAM Bound	5.4
4	Memory Bandwidth	30.2
4	Memory Latency	55.4
5	Local DRAM	8.6
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	9.6
4	Store Latency	28.2
5	Store L2	3.8
5	Store L3	7.5
5	Store Memory	16.9
4	False Sharing	0.2
4	Split Stores	0.5
4	DTLB Store Overhead	0.6
2	Core Bound	5.3
3	Divider	0.0
3	Port Utilization	25.7
4	Cycles of 0 Ports Utilized	82.4
4	Cycles of 1 Port Utilized	12.0
4	Cycles of 2 Ports Utilized	19.7
4	Cycles of 3+ Ports Utilized	50.7
5	Port 0	31.0
5	Port 1	29.9
5	Port 2	37.4
5	Port 3	38.2
5	Port 4	31.3
5	Port 5	30.9
5	Port 6	46.4
5	Port 7	15.8
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	60.2
2	General Retirement	54.8
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	5.3
3	Assists	0.0
1	Total Thread Count	152
1	Paused Time	0.0
1	Frame Count	76
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	1463788036
1	Collection start time	20:28:50 19/11/2018 UTC
1	Collection stop time	20:30:32 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998516
2	Logical CPU Count	32
