Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	43.759467
1	Clockticks	139068300000
1	Instructions Retired	226758000000
1	CPI Rate	0.613289
1	MUX Reliability	0.989443
1	Front-End Bound	16.1
2	Front-End Latency	8.4
3	ICache Misses	2.9
3	ITLB Overhead	0.6
3	Branch Resteers	6.5
4	Mispredicts Resteers	4.9
4	Clears Resteers	0.0
4	Unknown Branches	1.6
3	DSB Switches	1.4
3	Length Changing Prefixes	0.0
3	MS Switches	1.1
2	Front-End Bandwidth	7.8
3	Front-End Bandwidth MITE	7.8
3	Front-End Bandwidth DSB	21.4
3	Front-End Bandwidth LSD	0.8
3	(Info) DSB Coverage	73.9
3	(Info) LSD Coverage	10.9
1	Bad Speculation	7.7
2	Branch Mispredict	7.7
2	Machine Clears	0.1
1	Back-End Bound	32.4
2	Memory Bound	16.6
3	L1 Bound	8.5
4	DTLB Overhead	2.8
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	6.5
4	FB Full	25.9
3	L2 Bound	2.6
3	L3 Bound	7.4
4	Contested Accesses	3.8
4	Data Sharing	0.0
4	L3 Latency	28.5
4	SQ Full	1.2
3	DRAM Bound	3.7
4	Memory Bandwidth	34.2
4	Memory Latency	54.6
5	Local DRAM	7.6
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	8.1
4	Store Latency	28.1
5	Store L2	2.4
5	Store L3	7.2
5	Store Memory	18.5
4	False Sharing	0.1
4	Split Stores	0.3
4	DTLB Store Overhead	0.7
2	Core Bound	15.8
3	Divider	1.6
3	Port Utilization	28.9
4	Cycles of 0 Ports Utilized	43.3
4	Cycles of 1 Port Utilized	9.7
4	Cycles of 2 Ports Utilized	10.8
4	Cycles of 3+ Ports Utilized	22.8
5	Port 0	21.9
5	Port 1	22.7
5	Port 2	36.6
5	Port 3	37.3
5	Port 4	25.6
5	Port 5	23.0
5	Port 6	41.9
5	Port 7	15.6
4	Vector Capacity Usage (FPU)	22.5
1	Retiring	43.7
2	General Retirement	43.0
3	FP Arithmetic	0.1
4	FP x87	0.0
4	FP Scalar	0.1
4	FP Vector	0.0
3	Other	99.9
2	Microcode Sequencer	0.7
3	Assists	0.0
1	Total Thread Count	81
1	Paused Time	0.0
1	Frame Count	21
0	Collection and Platform Info	
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	142676097
1	Collection start time	14:56:06 18/12/2018 UTC
1	Collection stop time	14:56:50 18/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998544
2	Logical CPU Count	32
