Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	45.523987
1	Clockticks	207146100000
1	Instructions Retired	372666000000
1	CPI Rate	0.555849
1	MUX Reliability	0.982159
1	Front-End Bound	22.5
2	Front-End Latency	10.6
3	ICache Misses	1.7
3	ITLB Overhead	0.4
3	Branch Resteers	2.6
4	Mispredicts Resteers	2.0
4	Clears Resteers	0.0
4	Unknown Branches	0.6
3	DSB Switches	3.2
3	Length Changing Prefixes	0.0
3	MS Switches	3.2
2	Front-End Bandwidth	11.9
3	Front-End Bandwidth MITE	19.9
3	Front-End Bandwidth DSB	15.1
3	Front-End Bandwidth LSD	1.4
3	(Info) DSB Coverage	47.0
3	(Info) LSD Coverage	12.2
1	Bad Speculation	4.0
2	Branch Mispredict	3.9
2	Machine Clears	0.0
1	Back-End Bound	16.7
2	Memory Bound	9.8
3	L1 Bound	11.4
4	DTLB Overhead	2.6
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	4.6
4	FB Full	66.1
3	L2 Bound	0.6
3	L3 Bound	3.0
4	Contested Accesses	1.3
4	Data Sharing	0.0
4	L3 Latency	7.8
4	SQ Full	1.6
3	DRAM Bound	4.1
4	Memory Bandwidth	24.7
4	Memory Latency	64.4
5	Local DRAM	7.3
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	7.2
4	Store Latency	25.0
5	Store L2	4.5
5	Store L3	4.0
5	Store Memory	16.5
4	False Sharing	0.0
4	Split Stores	0.5
4	DTLB Store Overhead	0.3
2	Core Bound	6.9
3	Divider	0.0
3	Port Utilization	18.6
4	Cycles of 0 Ports Utilized	52.4
4	Cycles of 1 Port Utilized	9.0
4	Cycles of 2 Ports Utilized	12.0
4	Cycles of 3+ Ports Utilized	31.4
5	Port 0	29.7
5	Port 1	29.6
5	Port 2	38.7
5	Port 3	39.6
5	Port 4	32.0
5	Port 5	30.4
5	Port 6	45.0
5	Port 7	16.4
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	56.8
2	General Retirement	52.2
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	4.6
3	Assists	0.0
1	Total Thread Count	71
1	Paused Time	0.0
1	Frame Count	37
0	Collection and Platform Info	
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	200390969
1	Collection start time	13:19:01 18/12/2018 UTC
1	Collection stop time	13:19:47 18/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998542
2	Logical CPU Count	32
