Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	659.685554
1	Clockticks	4603162200000
1	Instructions Retired	8201936400000
1	CPI Rate	0.561229
1	MUX Reliability	0.999445
1	Front-End Bound	22.9
2	Front-End Latency	9.9
3	ICache Misses	0.6
3	ITLB Overhead	0.1
3	Branch Resteers	0.8
4	Mispredicts Resteers	0.6
4	Clears Resteers	0.1
4	Unknown Branches	0.2
3	DSB Switches	5.2
3	Length Changing Prefixes	0.0
3	MS Switches	4.0
2	Front-End Bandwidth	13.0
3	Front-End Bandwidth MITE	24.0
3	Front-End Bandwidth DSB	14.0
3	Front-End Bandwidth LSD	1.5
3	(Info) DSB Coverage	41.0
3	(Info) LSD Coverage	11.4
1	Bad Speculation	1.3
2	Branch Mispredict	1.2
2	Machine Clears	0.1
1	Back-End Bound	11.9
2	Memory Bound	5.7
3	L1 Bound	12.7
4	DTLB Overhead	3.4
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	3.9
4	FB Full	41.2
3	L2 Bound	0.8
3	L3 Bound	1.2
4	Contested Accesses	0.1
4	Data Sharing	0.0
4	L3 Latency	3.9
4	SQ Full	2.7
3	DRAM Bound	3.1
4	Memory Bandwidth	22.2
4	Memory Latency	56.7
5	Local DRAM	6.6
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	7.1
4	Store Latency	23.3
5	Store L2	5.4
5	Store L3	3.6
5	Store Memory	14.3
4	False Sharing	0.0
4	Split Stores	0.5
4	DTLB Store Overhead	0.4
2	Core Bound	6.2
3	Divider	0.0
3	Port Utilization	27.5
4	Cycles of 0 Ports Utilized	64.1
4	Cycles of 1 Port Utilized	8.5
4	Cycles of 2 Ports Utilized	14.9
4	Cycles of 3+ Ports Utilized	40.7
5	Port 0	33.0
5	Port 1	32.2
5	Port 2	41.6
5	Port 3	42.6
5	Port 4	34.7
5	Port 5	33.4
5	Port 6	48.5
5	Port 7	18.2
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	63.9
2	General Retirement	58.2
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	5.7
3	Assists	0.0
1	Total Thread Count	45
1	Paused Time	0.0
1	Frame Count	188
0	Collection and Platform Info	
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2612567952
1	Collection start time	10:30:35 18/12/2018 UTC
1	Collection stop time	10:41:34 18/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998523
2	Logical CPU Count	32
