Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	346.452301
1	Clockticks	2627782500000
1	Instructions Retired	4087883100000
1	CPI Rate	0.642822
1	MUX Reliability	0.998301
1	Front-End Bound	19.4
2	Front-End Latency	8.3
3	ICache Misses	1.0
3	ITLB Overhead	0.3
3	Branch Resteers	2.1
4	Mispredicts Resteers	1.7
4	Clears Resteers	0.1
4	Unknown Branches	0.3
3	DSB Switches	2.9
3	Length Changing Prefixes	0.0
3	MS Switches	2.1
2	Front-End Bandwidth	11.1
3	Front-End Bandwidth MITE	12.3
3	Front-End Bandwidth DSB	23.1
3	Front-End Bandwidth LSD	2.4
3	(Info) DSB Coverage	69.6
3	(Info) LSD Coverage	10.0
1	Bad Speculation	3.1
2	Branch Mispredict	3.0
2	Machine Clears	0.1
1	Back-End Bound	18.9
2	Memory Bound	9.8
3	L1 Bound	13.7
4	DTLB Overhead	5.6
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	3.5
4	FB Full	54.8
3	L2 Bound	1.3
3	L3 Bound	1.9
4	Contested Accesses	0.5
4	Data Sharing	0.1
4	L3 Latency	6.5
4	SQ Full	3.1
3	DRAM Bound	9.3
4	Memory Bandwidth	28.1
4	Memory Latency	48.7
5	Local DRAM	21.1
5	Remote DRAM	2.2
5	Remote Cache	0.0
3	Store Bound	6.4
4	Store Latency	22.4
5	Store L2	3.2
5	Store L3	4.2
5	Store Memory	15.1
4	False Sharing	0.1
4	Split Stores	0.4
4	DTLB Store Overhead	0.8
2	Core Bound	9.1
3	Divider	2.5
3	Port Utilization	30.5
4	Cycles of 0 Ports Utilized	70.5
4	Cycles of 1 Port Utilized	11.8
4	Cycles of 2 Ports Utilized	17.2
4	Cycles of 3+ Ports Utilized	41.6
5	Port 0	28.2
5	Port 1	26.4
5	Port 2	42.0
5	Port 3	43.1
5	Port 4	28.8
5	Port 5	27.0
5	Port 6	44.9
5	Port 7	17.1
4	Vector Capacity Usage (FPU)	20.8
1	Retiring	58.6
2	General Retirement	57.0
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	1.6
3	Assists	0.0
1	Total Thread Count	88
1	Paused Time	0.0
0	Collection and Platform Info	
1	Application Command Line	sudo "numactl" "--physcpubind=2,3,18,19" "--membind=0" "sudo" "/usr/local/spark/bin/spark-submit" "/home/hduser/Tungsten/Benchmark/samikshabench.jar" "off" "basicwordcount" "../wc_inputs/20gb" 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	1365536770
1	Collection start time	00:20:02 18/12/2018 UTC
1	Collection stop time	00:25:48 18/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998522
2	Logical CPU Count	32
