Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	33.277112
1	Clockticks	328811700000
1	Instructions Retired	395333400000
1	CPI Rate	0.831733
1	MUX Reliability	0.998061
1	Front-End Bound	28.5
2	Front-End Latency	14.7
3	ICache Misses	1.9
3	ITLB Overhead	0.4
3	Branch Resteers	3.1
4	Mispredicts Resteers	2.3
4	Clears Resteers	0.0
4	Unknown Branches	0.8
3	DSB Switches	3.8
3	Length Changing Prefixes	0.0
3	MS Switches	4.0
2	Front-End Bandwidth	13.8
3	Front-End Bandwidth MITE	27.7
3	Front-End Bandwidth DSB	11.2
3	Front-End Bandwidth LSD	1.8
3	(Info) DSB Coverage	36.9
3	(Info) LSD Coverage	11.8
1	Bad Speculation	4.8
2	Branch Mispredict	4.7
2	Machine Clears	0.1
1	Back-End Bound	9.9
2	Memory Bound	5.5
3	L1 Bound	15.3
4	DTLB Overhead	3.1
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	1.7
4	FB Full	52.7
3	L2 Bound	1.2
3	L3 Bound	4.1
4	Contested Accesses	0.7
4	Data Sharing	0.0
4	L3 Latency	10.3
4	SQ Full	3.7
3	DRAM Bound	4.8
4	Memory Bandwidth	31.8
4	Memory Latency	57.9
5	Local DRAM	8.6
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	8.3
4	Store Latency	24.5
5	Store L2	3.0
5	Store L3	4.9
5	Store Memory	16.7
4	False Sharing	0.0
4	Split Stores	0.5
4	DTLB Store Overhead	0.5
2	Core Bound	4.4
3	Divider	0.0
3	Port Utilization	26.8
4	Cycles of 0 Ports Utilized	80.3
4	Cycles of 1 Port Utilized	12.2
4	Cycles of 2 Ports Utilized	19.7
4	Cycles of 3+ Ports Utilized	48.5
5	Port 0	28.3
5	Port 1	28.4
5	Port 2	38.1
5	Port 3	38.9
5	Port 4	29.9
5	Port 5	29.1
5	Port 6	45.7
5	Port 7	16.4
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	56.8
2	General Retirement	52.4
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	4.4
3	Assists	0.0
1	Total Thread Count	87
1	Paused Time	0.0
0	Collection and Platform Info	
1	Application Command Line	sudo "numactl" "--physcpubind=2,3,18,19" "--membind=0" "sudo" "/usr/local/spark/bin/spark-submit" "/home/hduser/Tungsten/Benchmark/samikshabench.jar" "off" "wordcount" "../wc_inputs/1gb" 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	189147592
1	Collection start time	22:46:25 17/12/2018 UTC
1	Collection stop time	22:46:58 17/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998496
2	Logical CPU Count	32
