Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	33.486681
1	Clockticks	329790300000
1	Instructions Retired	396496800000
1	CPI Rate	0.831760
1	MUX Reliability	0.990360
1	Front-End Bound	26.2
2	Front-End Latency	13.3
3	ICache Misses	2.0
3	ITLB Overhead	0.5
3	Branch Resteers	3.5
4	Mispredicts Resteers	2.5
4	Clears Resteers	0.0
4	Unknown Branches	0.9
3	DSB Switches	3.6
3	Length Changing Prefixes	0.0
3	MS Switches	4.3
2	Front-End Bandwidth	12.9
3	Front-End Bandwidth MITE	25.9
3	Front-End Bandwidth DSB	11.6
3	Front-End Bandwidth LSD	1.9
3	(Info) DSB Coverage	38.2
3	(Info) LSD Coverage	11.4
1	Bad Speculation	5.0
2	Branch Mispredict	4.9
2	Machine Clears	0.1
1	Back-End Bound	13.2
2	Memory Bound	7.6
3	L1 Bound	14.9
4	DTLB Overhead	5.1
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	2.5
4	FB Full	75.2
3	L2 Bound	2.7
3	L3 Bound	3.0
4	Contested Accesses	1.1
4	Data Sharing	0.0
4	L3 Latency	7.8
4	SQ Full	3.1
3	DRAM Bound	5.4
4	Memory Bandwidth	30.9
4	Memory Latency	57.6
5	Local DRAM	8.9
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	7.4
4	Store Latency	23.8
5	Store L2	3.0
5	Store L3	5.0
5	Store Memory	15.7
4	False Sharing	0.0
4	Split Stores	0.5
4	DTLB Store Overhead	0.5
2	Core Bound	5.6
3	Divider	0.0
3	Port Utilization	24.7
4	Cycles of 0 Ports Utilized	79.4
4	Cycles of 1 Port Utilized	15.2
4	Cycles of 2 Ports Utilized	18.5
4	Cycles of 3+ Ports Utilized	45.7
5	Port 0	27.8
5	Port 1	28.4
5	Port 2	39.0
5	Port 3	39.9
5	Port 4	31.9
5	Port 5	28.8
5	Port 6	46.0
5	Port 7	16.9
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	55.6
2	General Retirement	51.2
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	4.5
3	Assists	0.0
1	Total Thread Count	81
1	Paused Time	0.0
0	Collection and Platform Info	
1	Application Command Line	sudo "numactl" "--physcpubind=2,3,18,19" "--membind=0" "sudo" "/usr/local/spark/bin/spark-submit" "/home/hduser/Tungsten/Benchmark/samikshabench.jar" "on" "wordcount" "../wc_inputs/1gb" 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	190101716
1	Collection start time	19:57:47 17/12/2018 UTC
1	Collection stop time	19:58:21 17/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998546
2	Logical CPU Count	32
