Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	939.005669
1	Clockticks	3781001700000
1	Instructions Retired	8087664900000
1	CPI Rate	0.467502
1	MUX Reliability	0.999657
1	Front-End Bound	11.4
2	Front-End Latency	3.7
3	ICache Misses	1.1
3	ITLB Overhead	0.4
3	Branch Resteers	2.9
4	Mispredicts Resteers	2.3
4	Clears Resteers	0.1
4	Unknown Branches	0.4
3	DSB Switches	1.2
3	Length Changing Prefixes	0.0
3	MS Switches	1.3
2	Front-End Bandwidth	7.7
3	Front-End Bandwidth MITE	10.3
3	Front-End Bandwidth DSB	23.3
3	Front-End Bandwidth LSD	1.2
3	(Info) DSB Coverage	68.2
3	(Info) LSD Coverage	14.2
1	Bad Speculation	3.1
2	Branch Mispredict	2.9
2	Machine Clears	0.1
1	Back-End Bound	33.4
2	Memory Bound	14.1
3	L1 Bound	6.9
4	DTLB Overhead	3.6
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	7.7
4	FB Full	57.7
3	L2 Bound	1.3
3	L3 Bound	2.3
4	Contested Accesses	0.9
4	Data Sharing	0.2
4	L3 Latency	9.7
4	SQ Full	1.4
3	DRAM Bound	9.1
4	Memory Bandwidth	30.0
4	Memory Latency	46.9
5	Local DRAM	24.4
5	Remote DRAM	1.5
5	Remote Cache	0.0
3	Store Bound	9.8
4	Store Latency	26.0
5	Store L2	4.4
5	Store L3	5.7
5	Store Memory	15.9
4	False Sharing	0.1
4	Split Stores	0.4
4	DTLB Store Overhead	0.5
2	Core Bound	19.3
3	Divider	2.2
3	Port Utilization	40.4
4	Cycles of 0 Ports Utilized	41.7
4	Cycles of 1 Port Utilized	7.3
4	Cycles of 2 Ports Utilized	10.2
4	Cycles of 3+ Ports Utilized	24.2
5	Port 0	27.2
5	Port 1	26.1
5	Port 2	39.5
5	Port 3	40.7
5	Port 4	26.7
5	Port 5	26.2
5	Port 6	41.7
5	Port 7	16.9
4	Vector Capacity Usage (FPU)	20.9
1	Retiring	52.1
2	General Retirement	51.2
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	0.9
3	Assists	0.0
1	Total Thread Count	158
1	Paused Time	0.0
1	Frame Count	125
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2518003588
1	Collection start time	16:57:18 16/12/2018 UTC
1	Collection stop time	17:12:57 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998525
2	Logical CPU Count	32
