Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	659.293583
1	Clockticks	4032346500000
1	Instructions Retired	9318926400000
1	CPI Rate	0.432705
1	MUX Reliability	0.999031
1	Front-End Bound	19.9
2	Front-End Latency	8.7
3	ICache Misses	0.6
3	ITLB Overhead	0.1
3	Branch Resteers	1.0
4	Mispredicts Resteers	0.7
4	Clears Resteers	0.1
4	Unknown Branches	0.2
3	DSB Switches	3.1
3	Length Changing Prefixes	0.0
3	MS Switches	2.8
2	Front-End Bandwidth	11.2
3	Front-End Bandwidth MITE	17.8
3	Front-End Bandwidth DSB	16.1
3	Front-End Bandwidth LSD	1.4
3	(Info) DSB Coverage	48.0
3	(Info) LSD Coverage	13.6
1	Bad Speculation	1.6
2	Branch Mispredict	1.4
2	Machine Clears	0.1
1	Back-End Bound	16.5
2	Memory Bound	6.2
3	L1 Bound	6.4
4	DTLB Overhead	1.8
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.2
4	4K Aliasing	6.6
4	FB Full	60.2
3	L2 Bound	0.9
3	L3 Bound	1.2
4	Contested Accesses	0.2
4	Data Sharing	0.2
4	L3 Latency	4.7
4	SQ Full	1.5
3	DRAM Bound	4.9
4	Memory Bandwidth	21.8
4	Memory Latency	55.7
5	Local DRAM	14.2
5	Remote DRAM	0.7
5	Remote Cache	0.0
3	Store Bound	9.1
4	Store Latency	24.6
5	Store L2	6.1
5	Store L3	3.9
5	Store Memory	14.6
4	False Sharing	0.0
4	Split Stores	0.5
4	DTLB Store Overhead	0.5
2	Core Bound	10.4
3	Divider	0.0
3	Port Utilization	37.6
4	Cycles of 0 Ports Utilized	44.5
4	Cycles of 1 Port Utilized	6.0
4	Cycles of 2 Ports Utilized	9.8
4	Cycles of 3+ Ports Utilized	28.7
5	Port 0	31.6
5	Port 1	31.5
5	Port 2	37.9
5	Port 3	39.1
5	Port 4	31.4
5	Port 5	33.3
5	Port 6	46.7
5	Port 7	16.6
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	62.0
2	General Retirement	56.7
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	5.4
3	Assists	0.0
1	Total Thread Count	118
1	Paused Time	0.0
1	Frame Count	183
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2874069028
1	Collection start time	16:22:28 16/12/2018 UTC
1	Collection stop time	16:33:28 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998523
2	Logical CPU Count	32
