Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	943.299270
1	Clockticks	4148201400000
1	Instructions Retired	8528039100000
1	CPI Rate	0.486419
1	MUX Reliability	0.997916
1	Front-End Bound	11.1
2	Front-End Latency	4.1
3	ICache Misses	1.1
3	ITLB Overhead	0.4
3	Branch Resteers	2.6
4	Mispredicts Resteers	2.1
4	Clears Resteers	0.1
4	Unknown Branches	0.4
3	DSB Switches	0.8
3	Length Changing Prefixes	0.0
3	MS Switches	2.6
2	Front-End Bandwidth	6.9
3	Front-End Bandwidth MITE	6.0
3	Front-End Bandwidth DSB	24.6
3	Front-End Bandwidth LSD	0.6
3	(Info) DSB Coverage	74.9
3	(Info) LSD Coverage	13.0
1	Bad Speculation	3.0
2	Branch Mispredict	2.9
2	Machine Clears	0.1
1	Back-End Bound	33.7
2	Memory Bound	14.2
3	L1 Bound	7.6
4	DTLB Overhead	2.9
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	8.5
4	FB Full	56.2
3	L2 Bound	1.3
3	L3 Bound	2.2
4	Contested Accesses	1.0
4	Data Sharing	0.3
4	L3 Latency	9.1
4	SQ Full	1.3
3	DRAM Bound	9.3
4	Memory Bandwidth	27.1
4	Memory Latency	50.3
5	Local DRAM	26.4
5	Remote DRAM	1.5
5	Remote Cache	0.0
3	Store Bound	9.1
4	Store Latency	24.7
5	Store L2	4.1
5	Store L3	5.4
5	Store Memory	15.2
4	False Sharing	0.2
4	Split Stores	0.4
4	DTLB Store Overhead	0.5
2	Core Bound	19.5
3	Divider	2.1
3	Port Utilization	40.6
4	Cycles of 0 Ports Utilized	42.2
4	Cycles of 1 Port Utilized	7.8
4	Cycles of 2 Ports Utilized	10.3
4	Cycles of 3+ Ports Utilized	24.1
5	Port 0	25.8
5	Port 1	24.6
5	Port 2	40.6
5	Port 3	42.0
5	Port 4	29.8
5	Port 5	25.6
5	Port 6	42.7
5	Port 7	18.1
4	Vector Capacity Usage (FPU)	20.8
1	Retiring	52.2
2	General Retirement	50.5
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	1.6
3	Assists	0.0
1	Total Thread Count	157
1	Paused Time	0.0
1	Frame Count	126
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2709017452
1	Collection start time	15:48:12 16/12/2018 UTC
1	Collection stop time	16:03:56 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998525
2	Logical CPU Count	32
