Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	13.863544
1	Clockticks	205890300000
1	Instructions Retired	233181900000
1	CPI Rate	0.882960
1	MUX Reliability	0.995920
1	Front-End Bound	23.1
2	Front-End Latency	12.1
3	ICache Misses	1.8
3	ITLB Overhead	0.4
3	Branch Resteers	4.3
4	Mispredicts Resteers	3.2
4	Clears Resteers	0.1
4	Unknown Branches	0.9
3	DSB Switches	3.2
3	Length Changing Prefixes	0.0
3	MS Switches	0.7
2	Front-End Bandwidth	11.0
3	Front-End Bandwidth MITE	15.5
3	Front-End Bandwidth DSB	18.4
3	Front-End Bandwidth LSD	1.9
3	(Info) DSB Coverage	62.0
3	(Info) LSD Coverage	9.0
1	Bad Speculation	6.9
2	Branch Mispredict	6.6
2	Machine Clears	0.2
1	Back-End Bound	23.9
2	Memory Bound	15.5
3	L1 Bound	11.9
4	DTLB Overhead	4.9
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	3.6
4	FB Full	64.4
3	L2 Bound	1.5
3	L3 Bound	5.3
4	Contested Accesses	10.1
4	Data Sharing	0.5
4	L3 Latency	12.0
4	SQ Full	2.9
3	DRAM Bound	16.0
4	Memory Bandwidth	48.3
4	Memory Latency	44.1
5	Local DRAM	26.2
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	9.3
4	Store Latency	29.4
5	Store L2	1.6
5	Store L3	7.8
5	Store Memory	20.0
4	False Sharing	0.7
4	Split Stores	0.2
4	DTLB Store Overhead	0.9
2	Core Bound	8.4
3	Divider	1.7
3	Port Utilization	23.7
4	Cycles of 0 Ports Utilized	70.3
4	Cycles of 1 Port Utilized	14.7
4	Cycles of 2 Ports Utilized	18.8
4	Cycles of 3+ Ports Utilized	36.8
5	Port 0	24.2
5	Port 1	23.6
5	Port 2	33.9
5	Port 3	34.7
5	Port 4	23.5
5	Port 5	24.1
5	Port 6	41.8
5	Port 7	13.7
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	46.2
2	General Retirement	45.6
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	0.6
3	Assists	0.0
1	Total Thread Count	137
1	Paused Time	0.0
1	Frame Count	20
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	170837095
1	Collection start time	02:06:30 17/12/2018 UTC
1	Collection stop time	02:06:44 17/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998606
2	Logical CPU Count	32
