Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	733.584187
1	Clockticks	4182523800000
1	Instructions Retired	9172585800000
1	CPI Rate	0.455981
1	MUX Reliability	0.999279
1	Front-End Bound	19.5
2	Front-End Latency	8.7
3	ICache Misses	0.7
3	ITLB Overhead	0.2
3	Branch Resteers	0.9
4	Mispredicts Resteers	0.6
4	Clears Resteers	0.1
4	Unknown Branches	0.2
3	DSB Switches	3.1
3	Length Changing Prefixes	0.0
3	MS Switches	3.0
2	Front-End Bandwidth	10.8
3	Front-End Bandwidth MITE	17.2
3	Front-End Bandwidth DSB	15.6
3	Front-End Bandwidth LSD	1.3
3	(Info) DSB Coverage	48.0
3	(Info) LSD Coverage	13.6
1	Bad Speculation	1.6
2	Branch Mispredict	1.4
2	Machine Clears	0.2
1	Back-End Bound	18.0
2	Memory Bound	6.4
3	L1 Bound	7.8
4	DTLB Overhead	2.0
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	6.1
4	FB Full	40.8
3	L2 Bound	0.6
3	L3 Bound	1.4
4	Contested Accesses	0.4
4	Data Sharing	0.3
4	L3 Latency	5.4
4	SQ Full	1.8
3	DRAM Bound	4.8
4	Memory Bandwidth	20.5
4	Memory Latency	58.6
5	Local DRAM	11.9
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	8.0
4	Store Latency	24.3
5	Store L2	6.0
5	Store L3	3.6
5	Store Memory	14.7
4	False Sharing	0.1
4	Split Stores	0.5
4	DTLB Store Overhead	0.4
2	Core Bound	11.6
3	Divider	0.0
3	Port Utilization	40.9
4	Cycles of 0 Ports Utilized	47.8
4	Cycles of 1 Port Utilized	6.8
4	Cycles of 2 Ports Utilized	10.8
4	Cycles of 3+ Ports Utilized	30.2
5	Port 0	32.4
5	Port 1	31.2
5	Port 2	38.9
5	Port 3	40.2
5	Port 4	32.8
5	Port 5	33.1
5	Port 6	47.6
5	Port 7	17.9
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	60.9
2	General Retirement	55.6
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	5.3
3	Assists	0.0
1	Total Thread Count	109
1	Paused Time	0.0
1	Frame Count	205
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2786449158
1	Collection start time	23:34:48 16/12/2018 UTC
1	Collection stop time	23:47:01 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998526
2	Logical CPU Count	32
