Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	803.973546
1	Clockticks	4009055400000
1	Instructions Retired	8078815500000
1	CPI Rate	0.496243
1	MUX Reliability	0.998779
1	Front-End Bound	10.5
2	Front-End Latency	4.0
3	ICache Misses	1.2
3	ITLB Overhead	0.4
3	Branch Resteers	2.7
4	Mispredicts Resteers	2.2
4	Clears Resteers	0.1
4	Unknown Branches	0.5
3	DSB Switches	1.3
3	Length Changing Prefixes	0.0
3	MS Switches	1.6
2	Front-End Bandwidth	6.5
3	Front-End Bandwidth MITE	5.1
3	Front-End Bandwidth DSB	24.7
3	Front-End Bandwidth LSD	0.7
3	(Info) DSB Coverage	77.0
3	(Info) LSD Coverage	13.5
1	Bad Speculation	3.0
2	Branch Mispredict	2.9
2	Machine Clears	0.1
1	Back-End Bound	34.4
2	Memory Bound	14.1
3	L1 Bound	7.9
4	DTLB Overhead	3.3
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	7.5
4	FB Full	49.8
3	L2 Bound	1.7
3	L3 Bound	2.1
4	Contested Accesses	0.5
4	Data Sharing	0.2
4	L3 Latency	9.4
4	SQ Full	1.5
3	DRAM Bound	9.2
4	Memory Bandwidth	28.4
4	Memory Latency	48.8
5	Local DRAM	27.5
5	Remote DRAM	1.6
5	Remote Cache	0.0
3	Store Bound	8.9
4	Store Latency	25.6
5	Store L2	4.1
5	Store L3	5.2
5	Store Memory	16.2
4	False Sharing	0.1
4	Split Stores	0.4
4	DTLB Store Overhead	0.5
2	Core Bound	20.2
3	Divider	2.2
3	Port Utilization	42.6
4	Cycles of 0 Ports Utilized	44.8
4	Cycles of 1 Port Utilized	7.9
4	Cycles of 2 Ports Utilized	11.0
4	Cycles of 3+ Ports Utilized	25.9
5	Port 0	27.7
5	Port 1	24.6
5	Port 2	39.6
5	Port 3	41.0
5	Port 4	26.9
5	Port 5	25.8
5	Port 6	41.9
5	Port 7	16.7
4	Vector Capacity Usage (FPU)	20.9
1	Retiring	52.1
2	General Retirement	51.1
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	1.0
3	Assists	0.0
1	Total Thread Count	139
1	Paused Time	0.0
1	Frame Count	139
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2559292264
1	Collection start time	21:38:28 16/12/2018 UTC
1	Collection stop time	21:51:52 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998526
2	Logical CPU Count	32
