Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1077.549095
1	Clockticks	3969663600000
1	Instructions Retired	8138753700000
1	CPI Rate	0.487748
1	MUX Reliability	0.999071
1	Front-End Bound	10.4
2	Front-End Latency	4.0
3	ICache Misses	1.3
3	ITLB Overhead	0.4
3	Branch Resteers	3.0
4	Mispredicts Resteers	2.5
4	Clears Resteers	0.1
4	Unknown Branches	0.4
3	DSB Switches	1.0
3	Length Changing Prefixes	0.0
3	MS Switches	1.6
2	Front-End Bandwidth	6.4
3	Front-End Bandwidth MITE	4.8
3	Front-End Bandwidth DSB	25.7
3	Front-End Bandwidth LSD	0.7
3	(Info) DSB Coverage	78.0
3	(Info) LSD Coverage	13.5
1	Bad Speculation	3.0
2	Branch Mispredict	2.9
2	Machine Clears	0.1
1	Back-End Bound	34.6
2	Memory Bound	14.2
3	L1 Bound	8.1
4	DTLB Overhead	4.1
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	6.2
4	FB Full	46.5
3	L2 Bound	1.6
3	L3 Bound	2.5
4	Contested Accesses	0.2
4	Data Sharing	0.1
4	L3 Latency	10.8
4	SQ Full	1.5
3	DRAM Bound	8.2
4	Memory Bandwidth	27.6
4	Memory Latency	48.6
5	Local DRAM	25.1
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	9.7
4	Store Latency	25.3
5	Store L2	4.2
5	Store L3	5.2
5	Store Memory	15.9
4	False Sharing	0.0
4	Split Stores	0.5
4	DTLB Store Overhead	0.6
2	Core Bound	20.4
3	Divider	2.3
3	Port Utilization	43.6
4	Cycles of 0 Ports Utilized	44.3
4	Cycles of 1 Port Utilized	7.7
4	Cycles of 2 Ports Utilized	10.9
4	Cycles of 3+ Ports Utilized	25.7
5	Port 0	28.1
5	Port 1	25.1
5	Port 2	39.7
5	Port 3	41.0
5	Port 4	27.1
5	Port 5	25.9
5	Port 6	41.7
5	Port 7	16.5
4	Vector Capacity Usage (FPU)	20.8
1	Retiring	52.0
2	General Retirement	51.1
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	1.0
3	Assists	0.0
1	Total Thread Count	76
1	Paused Time	0.0
1	Frame Count	192
0	Collection and Platform Info	
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2505530309
1	Collection start time	15:23:46 18/12/2018 UTC
1	Collection stop time	15:41:44 18/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998524
2	Logical CPU Count	32
