Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	264.414864
1	Clockticks	1906831500000
1	Instructions Retired	3320398200000
1	CPI Rate	0.574278
1	MUX Reliability	0.998281
1	Front-End Bound	22.9
2	Front-End Latency	9.7
3	ICache Misses	0.8
3	ITLB Overhead	0.1
3	Branch Resteers	0.9
4	Mispredicts Resteers	0.7
4	Clears Resteers	0.1
4	Unknown Branches	0.2
3	DSB Switches	5.1
3	Length Changing Prefixes	0.0
3	MS Switches	4.1
2	Front-End Bandwidth	13.2
3	Front-End Bandwidth MITE	24.4
3	Front-End Bandwidth DSB	15.0
3	Front-End Bandwidth LSD	1.7
3	(Info) DSB Coverage	41.5
3	(Info) LSD Coverage	10.9
1	Bad Speculation	1.4
2	Branch Mispredict	1.3
2	Machine Clears	0.1
1	Back-End Bound	13.1
2	Memory Bound	6.2
3	L1 Bound	12.2
4	DTLB Overhead	2.8
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	3.7
4	FB Full	40.1
3	L2 Bound	1.1
3	L3 Bound	1.2
4	Contested Accesses	0.2
4	Data Sharing	0.0
4	L3 Latency	4.3
4	SQ Full	3.0
3	DRAM Bound	3.6
4	Memory Bandwidth	22.3
4	Memory Latency	56.5
5	Local DRAM	9.2
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	7.1
4	Store Latency	22.8
5	Store L2	5.0
5	Store L3	4.0
5	Store Memory	13.8
4	False Sharing	0.0
4	Split Stores	0.5
4	DTLB Store Overhead	0.5
2	Core Bound	6.9
3	Divider	0.0
3	Port Utilization	28.3
4	Cycles of 0 Ports Utilized	64.3
4	Cycles of 1 Port Utilized	9.0
4	Cycles of 2 Ports Utilized	14.8
4	Cycles of 3+ Ports Utilized	40.4
5	Port 0	32.2
5	Port 1	31.4
5	Port 2	39.2
5	Port 3	40.2
5	Port 4	32.1
5	Port 5	33.2
5	Port 6	47.8
5	Port 7	16.6
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	62.6
2	General Retirement	57.1
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	5.5
3	Assists	0.0
1	Total Thread Count	70
1	Paused Time	0.0
1	Frame Count	88
0	Collection and Platform Info	
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	1147881401
1	Collection start time	13:12:59 18/12/2018 UTC
1	Collection stop time	13:17:23 18/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998527
2	Logical CPU Count	32
