Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1083.038276
1	Clockticks	4056914400000
1	Instructions Retired	8407347900000
1	CPI Rate	0.482544
1	MUX Reliability	0.998494
1	Front-End Bound	10.9
2	Front-End Latency	3.9
3	ICache Misses	1.3
3	ITLB Overhead	0.4
3	Branch Resteers	2.7
4	Mispredicts Resteers	2.2
4	Clears Resteers	0.1
4	Unknown Branches	0.4
3	DSB Switches	1.2
3	Length Changing Prefixes	0.0
3	MS Switches	1.5
2	Front-End Bandwidth	7.0
3	Front-End Bandwidth MITE	4.8
3	Front-End Bandwidth DSB	26.4
3	Front-End Bandwidth LSD	0.7
3	(Info) DSB Coverage	78.6
3	(Info) LSD Coverage	12.8
1	Bad Speculation	2.9
2	Branch Mispredict	2.8
2	Machine Clears	0.1
1	Back-End Bound	33.5
2	Memory Bound	13.8
3	L1 Bound	7.7
4	DTLB Overhead	2.7
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	8.6
4	FB Full	45.0
3	L2 Bound	1.5
3	L3 Bound	2.3
4	Contested Accesses	0.2
4	Data Sharing	0.1
4	L3 Latency	10.3
4	SQ Full	1.4
3	DRAM Bound	8.6
4	Memory Bandwidth	27.4
4	Memory Latency	48.4
5	Local DRAM	25.3
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	9.2
4	Store Latency	25.1
5	Store L2	4.2
5	Store L3	5.1
5	Store Memory	15.8
4	False Sharing	0.0
4	Split Stores	0.4
4	DTLB Store Overhead	0.4
2	Core Bound	19.7
3	Divider	2.2
3	Port Utilization	41.6
4	Cycles of 0 Ports Utilized	44.9
4	Cycles of 1 Port Utilized	7.9
4	Cycles of 2 Ports Utilized	10.7
4	Cycles of 3+ Ports Utilized	26.3
5	Port 0	28.5
5	Port 1	25.3
5	Port 2	39.6
5	Port 3	40.8
5	Port 4	27.4
5	Port 5	26.9
5	Port 6	43.1
5	Port 7	17.0
4	Vector Capacity Usage (FPU)	20.9
1	Retiring	52.7
2	General Retirement	51.8
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	0.9
3	Assists	0.0
1	Total Thread Count	71
1	Paused Time	0.0
1	Frame Count	211
0	Collection and Platform Info	
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2566855552
1	Collection start time	12:22:07 18/12/2018 UTC
1	Collection stop time	12:40:10 18/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998525
2	Logical CPU Count	32
