Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1377.347741
1	Clockticks	4015449900000
1	Instructions Retired	8050776300000
1	CPI Rate	0.498766
1	MUX Reliability	0.998707
1	Front-End Bound	20.5
2	Front-End Latency	9.2
3	ICache Misses	0.7
3	ITLB Overhead	0.1
3	Branch Resteers	2.4
4	Mispredicts Resteers	2.1
4	Clears Resteers	0.1
4	Unknown Branches	0.2
3	DSB Switches	3.5
3	Length Changing Prefixes	0.0
3	MS Switches	2.9
2	Front-End Bandwidth	11.3
3	Front-End Bandwidth MITE	18.0
3	Front-End Bandwidth DSB	14.5
3	Front-End Bandwidth LSD	1.3
3	(Info) DSB Coverage	45.5
3	(Info) LSD Coverage	14.2
1	Bad Speculation	3.1
2	Branch Mispredict	3.0
2	Machine Clears	0.1
1	Back-End Bound	19.3
2	Memory Bound	6.8
3	L1 Bound	7.6
4	DTLB Overhead	1.6
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	5.7
4	FB Full	38.7
3	L2 Bound	1.8
3	L3 Bound	1.9
4	Contested Accesses	0.1
4	Data Sharing	0.0
4	L3 Latency	6.4
4	SQ Full	1.8
3	DRAM Bound	4.5
4	Memory Bandwidth	22.2
4	Memory Latency	65.6
5	Local DRAM	10.4
5	Remote DRAM	0.1
5	Remote Cache	0.0
3	Store Bound	8.1
4	Store Latency	26.7
5	Store L2	5.7
5	Store L3	3.4
5	Store Memory	17.6
4	False Sharing	0.0
4	Split Stores	0.6
4	DTLB Store Overhead	0.3
2	Core Bound	12.6
3	Divider	0.0
3	Port Utilization	44.4
4	Cycles of 0 Ports Utilized	47.5
4	Cycles of 1 Port Utilized	6.9
4	Cycles of 2 Ports Utilized	11.3
4	Cycles of 3+ Ports Utilized	29.3
5	Port 0	31.1
5	Port 1	29.8
5	Port 2	37.4
5	Port 3	38.2
5	Port 4	30.9
5	Port 5	31.3
5	Port 6	45.4
5	Port 7	16.1
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	57.1
2	General Retirement	52.2
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	4.9
3	Assists	0.0
1	Total Thread Count	49
1	Paused Time	0.0
1	Frame Count	1176
0	Collection and Platform Info	
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2529271243
1	Collection start time	11:08:08 18/12/2018 UTC
1	Collection stop time	11:31:05 18/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998524
2	Logical CPU Count	32
